loan_id,loan_type,approved_amount,interest_rate,start_date
LNK-13156,REFINANCE,"$178,198.43",6.174,2025-11-18
LNK-50797,Fixed Purchase,400088.33,5.085,2022-04-21
LNK-13676,Fixed Refinance,592601.64,4.966,2025-05-13
LNK-48052,Refinance,577755.45,4.284,2025-05-05
LNK-46082,ARM,262175.11,4.383,2022-08-01
LNK-80131,Jumbo Purchase,132468.42,6.530,2022-10-07
LNK-35671,Fixed Purchase,218504.36,4.866,2020-03-18
LNK-6695,Fixed Purchase,319447.78,4.474,2023-08-23
LNK-96647,ARM,377122.82,4.874,2025-06-25
LNK-61217,Refinance,172021.23,6.783,2022-04-22
LNK-71284,Fixed Purchase,141027.90,7.613,2020-10-21
LNK-17361,Refinance,565496.43,5.776,2025-11-18
LNK-50615,FIXED REFINANCE,315757.98,5.829,2023-11-14
LNK-11328,Fixed Purchase,194969.51,6.783,2025-01-21
LNK-73357,Fixed Purchase,1107415.85,7.403,2020-09-21
LNK-39427,Fixed Purchase,131881.17,6.469,2024-05-21
LNK-83397,Fixed Purchase,176395.22,4.106,2020-04-18
LNK-82070,ARM,346666.79,3.437,2025-02-06
LNK-48400,ARM,289073.18,3.265%,2023-12-07
LNK-76674,Fixed Purchase,"$228,680.67",7.022,2020-02-01
LNK-26203,ARM,374675.22,5.282,2025-03-17
LNK-93349,ARM,364581.52,5.642,2024-04-28
LNK-10116,Fixed Purchase,244885.88,7.465,2019-05-23
LNK-7006,Jumbo Purchase,513240.93,6.448,2020-05-07
LNK-87673,ARM,592747.89,3.884,2021-02-28
LNK-30871,ARM,613729.77,6.790,2026-01-13
LNK-38930,Refinance,256065.98,6.629,2019-12-23
LNK-11458,ARM,259477.84,4.795,2019-02-20
LNK-31512,Refinance,364570.68,5.058,2020-08-30
LNK-14238,Refinance,601184.94,3.823,2020-02-18
LNK-50823,Jumbo Purchase,555872.64,4.899,2026-05-06
LNK-37434,Refinance,105044.13,3.975,2025-10-29
LNK-60429,ARM,296749.12,5.655,2019-07-21
LNK-84320,FHA Purchase,1303908.74,5.068,2022-02-22
LNK-48819,Jumbo Purchase,451395.83,4.742,2022-05-15
LNK-22319,ARM,526815.48,4.642,03/29/2026
LNK-49520,ARM,573686.55,4.893,2024-10-16
LNK-47566,Jumbo Purchase,360669.29,5.103,2024-09-06
LNK-28460,Fixed Refinance,35493.13,4.095,2021-04-02
LNK-88841,Fixed Purchase,329200.04,6.815,2022-01-27
LNK-35993,ARM,297364.12,5.620,2021-09-17
LNK-92988,Refinance,180007.28,5.748,2022-12-03
LNK-90593,Jumbo Purchase,223383.06,4.143,2019-04-23
LNK-85939,Fixed Purchase,391158.06,7.478,2026-04-05
LNK-10358,Fixed Purchase,433599.22,7.511,2019-02-06
LNK-80840,Fixed Purchase,177662.35,4.723,2025-10-27
LNK-84227,Fixed Purchase,602358.08,5.594,2023-03-23
LNK-23431,ARM,201741.84,5.026,2025-12-29
LNK-71010,Fixed Purchase,358659.84,7.418,03/13/2023
LNK-96568,Refinance,"$236,232.13",5.327,2022-10-09
LNK-33087,Refinance,545898.01,6.244,2026-04-22
LNK-22417,Fixed Purchase,494528.80,7.254,2025-09-23
LNK-61589,Fixed Purchase,1047898.26,5.036,2023-09-11
LNK-50735,Fixed Refinance,396917.68,6.664,2022-11-06
LNK-36382,Fixed Purchase,371029.78,7.693,2023-01-08
LNK-84886,Jumbo Purchase,534741.70,4.538,2020-02-04
LNK-91198,Fixed Refinance,472974.85,7.050,2022-10-06
LNK-74000,Fixed Purchase,204480.44,5.579,2022-09-19
LNK-29785,Refinance,333111.94,3.615,2026-02-11
LNK-90733,FHA Purchase,123100.42,5.927,2023-04-13
LNK-43504,ARM,550904.29,6.772%,2022-11-04
LNK-8331,Refinance,570042.20,4.666,2021-01-08
LNK-31021,ARM,422602.53,5.448,2019-01-20
LNK-5207, Fixed Purchase ,"$498,845.12",4.439,2019-12-27
LNK-42347,ARM,314734.20,4.866,2019-01-20
LNK-53581,Fixed Purchase,907770.51,7.375,2021-02-19
LNK-36093,Fixed Purchase,477477.73,7.565,2022-07-02
LNK-9675, ARM ,399938.82,6.148,2022-05-06
LNK-28653,ARM,363354.30,4.705,2020-07-02
LNK-75341,Jumbo Purchase,277199.22,7.874,2023-07-11
LNK-95098,Fixed Purchase,611910.55,3.845,2024-08-28
LNK-42245,ARM,151235.31,4.046,2024-12-30
LNK-28869,Refinance,110658.80,6.744,07/17/2019
LNK-86909,ARM,288435.76,4.855,2020-09-19
LNK-66435,Refinance,89977.93,3.804,2024-11-01
LNK-52856,Refinance,158382.48,3.820,2025-12-05
LNK-85259,Fixed Purchase,141851.08,4.619,2021-12-13
LNK-61142,FHA Purchase,276488.18,4.448,2025-02-23
LNK-19726,Fixed Purchase,584221.52,0.0376,2019-12-31
LNK-35718,Jumbo Purchase,442926.73,4.142,2024-09-26
LNK-19301,Fixed Refinance,569056.97,5.227,2022-04-27
LNK-33325,Fixed Purchase,520050.45,7.457,2023-01-15
LNK-98647,Fixed Purchase,480119.00,,2019-07-07
LNK-74579,Fixed Purchase,431251.27,7.641,2025-12-21
LNK-71644,Fixed Refinance,284352.85,3.855,2023-06-28
LNK-35438,Fixed Purchase,291357.79,7.230,2026-04-11
LNK-98912,Fixed Purchase,155893.69,8.020,2020-10-14
LNK-77622,Jumbo Purchase,343231.05,5.656,2025-11-08
LNK-57155,ARM,100416.68,6.203,2020-06-19
LNK-77484,ARM,559862.75,3.334,2026-05-06
LNK-53350,Fixed Refinance,447691.97,5.707,2025-05-03
LNK-48447,FHA Purchase,552131.81,6.744,2025-12-07
LNK-29746,Refinance,217988.69,6.105,2023-04-26
LNK-19131,Jumbo Purchase,562253.11,3.801%,2020-10-04
LNK-67784,ARM,350271.69,5.880,2022-08-06
LNK-65686,FHA Purchase,111937.63,6.548,2023-07-10
LNK-12915,Fixed Purchase,322641.05,4.133,2024-08-03
LNK-7175,Fixed Purchase,351094.74,4.196,2023-08-16
LNK-15371,Refinance,526861.19,7.253,02/24/2026
LNK-21033,Refinance,195665.42,7.201,2023-01-28
LNK-83240,Fixed Refinance,536709.83,6.470,2025-09-23
LNK-21969,Refinance,468013.72,,2021-06-27
LNK-90192,ARM,424008.73,5.126,2023-03-12
LNK-56333,Fixed Purchase,172823.12,6.868,2023-08-04
LNK-79172,Refinance,185335.72,4.972,2024-02-16
LNK-9326,Fixed Purchase,265794.45,3.952,2026-02-06
LNK-51432,Refinance,498097.67,6.034,2024-08-27
LNK-51019,ARM,1398246.62,6.204,2024-06-01
LNK-79104,Fixed Refinance,571947.10,4.095,2020-06-09
LNK-62348,Refinance,409296.01,6.926,09/11/2023
LNK-70352,Jumbo Purchase,492870.44,7.942,2022-04-19
LNK-33953,Fixed Purchase,305818.83,7.006,2022-05-09
LNK-73512,Refinance,252942.28,5.614,2021-06-09
LNK-2504,Refinance,240460.03,6.089,2026-04-16
LNK-90166,Fixed Purchase,375232.94,6.840,2022-12-13
LNK-95466,Refinance,589330.40,6.097,2024-12-26
LNK-16014,Jumbo Purchase,517443.06,3.860,2020-08-18
LNK-90353,Fixed Purchase,227833.37,8.028,2021-10-23
LNK-71381,Fixed Purchase,504631.21,6.104,2023-01-09
LNK-99419,Fixed Purchase,549398.92,7.512,2026-04-04
LNK-35973,Fixed Purchase,504604.34,5.001,2019-07-12
LNK-85012,ARM,596835.55,4.257,03/11/2025
LNK-45587,Fixed Refinance,193651.66,6.842,2023-12-20
LNK-15621,Jumbo Purchase,461976.55,7.035,2025-02-16
LNK-39469,Fixed Purchase,472829.27,5.702,2019-11-02
LNK-57985,FIXED PURCHASE,359908.07,5.614,2025-03-29
LNK-21730,Fixed Purchase,1023065.07,7.828,2019-06-13
LNK-60470,ARM,"$112,207.66",5.378,2022-05-18
LNK-1425,Refinance,276575.79,4.671,2021-06-19
LNK-95646,Refinance,505648.16,5.572,2023-07-11
LNK-95329,Fixed Purchase,199144.29,5.319,2021-06-13
LNK-35522,Refinance,"$339,048.60",,2026-04-13
LNK-66612,Refinance,323431.98,5.855,2025-12-19
LNK-24416,Fixed Purchase,558828.19,7.213,2020-04-09
LNK-67542,Refinance,236313.51,6.688,2023-03-16
LNK-14947,Refinance,345440.52,6.006,2022-08-05
LNK-82959,FHA Purchase,174556.22,6.090,01/31/2019
LNK-40117,Fixed Purchase,421790.25,6.732,2020-03-01
LNK-84748,Jumbo Purchase,555070.92,5.643,2019-10-23
LNK-67540,Fixed Purchase,330685.50,4.131,2019-08-11
LNK-80818,Fixed Purchase,122686.52,7.713,2023-07-28
LNK-27071,Refinance,1188638.99,5.539,2026-03-12
LNK-21032,Fixed Purchase,1328600.99,5.306,2024-08-21
LNK-50009,Fixed Refinance,246222.63,6.461,2023-11-28
LNK-22174,Jumbo Purchase,101488.25,4.706,2023-05-21
LNK-71697,Jumbo Purchase,242813.48,5.047,2026-04-07
LNK-70514,FHA Purchase,381135.44,4.286,2019-01-21
LNK-1074,ARM,377926.12,3.877,2022-11-09
LNK-79504,Jumbo Purchase,540530.49,4.550,2025-12-01
LNK-43487,Fixed Purchase,182026.52,7.457,2025-02-26
LNK-65042, Refinance ,240499.18,3.793,2025-07-06
LNK-3552,ARM,153595.10,3.470,2025-12-12
LNK-15662,Fixed Purchase,344935.76,6.618,2025-07-20
LNK-48576,Refinance,517119.37,4.075,2022-07-06
LNK-41306,Fixed Purchase,480801.68,7.404,2020-07-04
LNK-32385,ARM,341775.37,5.967,2024-06-17
LNK-8592,Fixed Purchase,409545.80,7.485,2020-07-27
LNK-32571,Fixed Purchase,477446.37,6.914,2019-03-18
LNK-75364,Refinance,519763.68,6.477,2021-05-21
LNK-11322,Refinance,375756.09,5.288,2020-08-31
LNK-12226,Fixed Purchase,498097.49,5.016,2024-03-18
LNK-96932,Fixed Purchase,841104.64,7.943,2025-11-20
LNK-64699,Fixed Refinance,160098.32,5.665,2025-05-06
LNK-10071,FHA Purchase,478717.10,5.311,2021-06-15
LNK-70822,Fixed Purchase,226431.06,6.658,2024-10-22
LNK-17483,ARM,336275.71,3.272,2026-04-10
LNK-17828,Fixed Refinance,363934.50,6.739,2021-12-14
LNK-87474,Refinance,286512.87,5.751,2019-11-15
LNK-63296,ARM,70374.70,4.406,2022-11-14
LNK-73063,ARM,408252.87,0.0361,2020-11-09
LNK-22643,Refinance,235233.09,4.029,2025-10-01
LNK-35741,Fixed Purchase,208235.29,6.883,2024-05-26
LNK-70163,ARM,401073.13,4.620,2021-09-25
LNK-80507,Refinance,171204.09,3.557,2025-06-02
LNK-56461,Fixed Purchase,578509.08,5.514,2025-04-27
LNK-28760,Jumbo Purchase,474466.26,7.871%,2021-06-06
LNK-71686,FHA Purchase,549006.78,7.362,2025-09-27
LNK-99994,Refinance,495607.21,5.443,2020-11-17
LNK-96673,ARM,327606.53,3.950,2023-04-28
LNK-91422,Fixed Purchase,364650.57,6.727,2020-09-04
LNK-27365,Fixed Purchase,567360.40,7.568,2024-12-16
LNK-94447,Fixed Purchase,342998.90,6.375,2019-01-05
LNK-41857,Fixed Refinance,432338.98,4.882,2019-06-27
LNK-53296,ARM,587055.57,5.944,2022-12-06
LNK-89039,Fixed Refinance,492423.49,3.791,2020-07-02
LNK-86180,FIXED REFINANCE,571895.67,5.793,2025-02-05
LNK-49944,Fixed Purchase,464394.63,6.264,2020-04-27
LNK-58422,ARM,194899.00,4.613,2020-03-12
LNK-68839,Refinance,220693.51,5.094,2023-02-06
LNK-60177,FHA Purchase,297637.97,6.152,2025-04-02
LNK-16860,ARM,381877.58,4.235,2022-11-11
LNK-33493,ARM,158866.66,3.541,2021-07-30
LNK-30451,Refinance,171560.39,5.002,2022-10-18
LNK-9392,Refinance,961282.94,5.944,2020-01-09
LNK-45313,ARM,406131.31,4.073,2023-02-27
LNK-3757,Fixed Purchase,290614.42,0.0642,2024-11-04
LNK-78110,FHA Purchase,11742.72,4.512,2024-07-17
LNK-73603,Fixed Purchase,436433.06,4.994,2019-05-18
LNK-31161,Refinance,458670.61,6.096,2023-01-13
LNK-78128,Fixed Purchase,"$169,232.95",7.142,2022-12-17
LNK-29864,ARM,1212897.54,6.501,2025-03-01
LNK-1942,Jumbo Purchase,574529.80,7.940,2022-02-06
LNK-10305,FHA Purchase,328296.07,3.770,2020-12-17
LNK-93778, Fixed Purchase ,123726.49,7.870,2024-10-03
LNK-83719,Jumbo Purchase,520033.83,6.770,2023-03-25
LNK-8716,Fixed Refinance,490248.21,5.235,2024-03-02
LNK-31007,Jumbo Purchase,342854.04,5.415,2021-06-21
LNK-9834,Fixed Purchase,253915.92,5.997,2019-02-09
LNK-5117,Fixed Purchase,238699.93,7.007,2022-11-01
LNK-44309,FHA Purchase,339957.17,7.640,2022-01-07
LNK-10287,Fixed Refinance,582686.57,6.348,2021-08-19
LNK-68391,Jumbo Purchase,195626.57,4.836,2025-12-08
LNK-32195,Fixed Refinance,19134.99,7.223,2024-07-10
LNK-37500,Fixed Refinance,1035833.66,5.883,2024-07-09
LNK-88684,Jumbo Purchase,392367.87,0.0454,2024-09-24
LNK-64624,Fixed Purchase,1289415.93,5.831,2025-01-23
LNK-29080,ARM,545314.07,4.792,2020-05-08
LNK-71678,ARM,818601.91,5.250,2022-08-25
LNK-18342,Jumbo Purchase,185126.56,4.922,2025-11-16
LNK-95811,Fixed Purchase,311809.44,7.022,2023-02-04
LNK-75847,Fixed Purchase,181240.74,6.255,2021-07-25
LNK-76525,Fixed Refinance,515186.86,6.825,2021-03-14
LNK-62953,FHA Purchase,165008.21,4.518,2024-08-08
LNK-32850, Jumbo Purchase ,422398.81,5.123,
LNK-62993,Refinance,388791.47,6.162,2019-09-03
LNK-54354,Fixed Purchase,533849.86,6.989,2021-11-30
LNK-25957,Refinance,583536.85,3.479,05/11/2020
LNK-13363,Refinance,408983.18,5.999,2025-01-14
LNK-13704,Fixed Refinance,274983.34,5.350,2024-01-05
LNK-87374,ARM,238290.11,3.636,2020-11-17
LNK-57498,FHA Purchase,310671.82,5.511,2019-10-20
LNK-47438,ARM,252712.90,5.729%,2025-10-15
LNK-56519,FIXED PURCHASE,323020.64,5.330,2025-08-01
LNK-54883,ARM,174515.19,3.563,2021-08-19
LNK-62213,FHA Purchase,459872.86,4.476,2020-02-26
LNK-96561,FHA Purchase,1266746.96,6.029,2019-12-07
LNK-8100,Refinance,130106.53,4.959,2021-07-28
LNK-89259,Fixed Purchase,420167.17,7.398,2019-04-28
LNK-86649,ARM,574670.73,4.829,2025-01-23
LNK-85696,Refinance,157286.48,5.557,2025-08-17
LNK-13899,Refinance,425180.36,5.494,2026-03-04
LNK-8944,Jumbo Purchase,342683.65,4.140,2022-06-15
LNK-53772,Fixed Purchase,1302303.83,7.439,2022-11-09
LNK-96448,Refinance,452956.93,,2022-05-12
LNK-45473,ARM,241713.60,3.127,2023-03-11
LNK-15322,Jumbo Purchase,318851.91,6.860,2026-03-30
LNK-33591,ARM,225694.45,3.986,2025-11-16
LNK-26112,Refinance,237302.12,6.635,2023-08-19
LNK-25931,FIXED PURCHASE,"$158,093.86",5.731,2024-01-29
LNK-71292,Refinance,689705.66,5.540,2021-01-31
LNK-59800,Fixed Purchase,151895.97,0.0379,2020-01-05
LNK-19373,ARM,267923.38,6.058,2023-03-02
LNK-56296, Fixed Refinance ,261683.03,7.207,
LNK-25050,ARM,375607.69,6.414,2021-10-21
LNK-37509,Jumbo Purchase,150249.43,4.833,2023-12-20
LNK-61637,FHA Purchase,191561.23,4.159,2021-05-03
LNK-33742,Refinance,251978.51,0.0592,2019-06-22
LNK-10880,Refinance,150345.71,4.595,2023-01-16
LNK-59082,Jumbo Purchase,201516.71,6.503,2022-08-22
LNK-73132,Fixed Refinance,397812.82,4.372,2019-06-22
LNK-13833,Refinance,453297.50,0.0648,2021-10-15
LNK-7630,Fixed Purchase,415975.00,8.087,2026-01-04
LNK-86477,ARM,167346.36,3.497,06/21/2024
LNK-71855,FHA Purchase,506880.58,7.254,
LNK-2934,Fixed Purchase,287106.38,4.841,2019-06-11
LNK-13224,ARM,242672.31,3.802,2021-02-03
LNK-99771,ARM,335591.18,5.315,2025-03-21
LNK-31982,Refinance,325420.55,,2024-02-03
LNK-22798,Refinance,287788.31,3.475,2023-01-31
LNK-54269,Fixed Purchase,470736.91,6.094,2023-05-07
LNK-64653,Refinance,494667.74,4.533,2023-08-06
LNK-64092,Fixed Purchase,364912.29,7.383,2020-06-15
LNK-29016,Fixed Purchase,142274.52,3.888,2026-03-13
LNK-53565,Refinance,366314.43,4.424,2023-02-09
LNK-8685,Fixed Refinance,92001.07,6.023,2019-11-24
LNK-22579,Refinance,278095.44,6.962,2023-02-20
LNK-50672,Fixed Purchase,415059.33,0.0694,2022-05-29
LNK-1282,Fixed Purchase,362924.62,4.755,2023-04-28
LNK-52173,Refinance,218088.22,4.116,2025-04-05
LNK-35760,Fixed Purchase,426664.00,5.745,2023-10-16
LNK-60638,Fixed Purchase,181512.15,5.218,2020-10-09
LNK-38388,Refinance,584433.18,5.600,2022-08-22
LNK-56444,ARM,423783.84,4.297,2021-09-12
LNK-92303,Fixed Purchase,494653.90,4.855,2024-01-28
LNK-96748,ARM,473577.60,5.304,2024-10-21
LNK-73845,Jumbo Purchase,88514.32,4.684,2022-07-13
LNK-87752,Jumbo Purchase,453999.76,6.158,2025-03-28
LNK-95163,REFINANCE,135443.61,4.024,2021-12-21
LNK-64788,Refinance,209651.87,3.768%,2023-06-26
LNK-21289,Fixed Purchase,"$126,302.84",5.849,2024-06-22
LNK-25890,Refinance,393284.37,5.781,2022-05-15
LNK-39890,Fixed Refinance,289127.17,7.087,2022-10-01
LNK-29534,Fixed Refinance,307839.12,6.879,2021-07-17
LNK-8665,Jumbo Purchase,581829.44,6.500,2019-08-10
LNK-76914,Fixed Purchase,373862.41,5.935,2021-06-23
LNK-97434,Refinance,618591.51,6.411%,2025-06-14
LNK-72066,Fixed Purchase,240033.92,4.325,2019-12-05
LNK-8989,Fixed Refinance,"$378,261.54",4.994,2023-11-15
LNK-99038,Fixed Purchase,157155.86,5.872,2026-04-25
LNK-42104,Refinance,618437.14,4.369,2021-12-26
LNK-8492,ARM,579413.87,5.585,10/01/2023
LNK-7572,Fixed Purchase,269320.83,7.098,2020-11-24
LNK-77569,Refinance,614735.16,3.983,2019-07-03
LNK-63493,Fixed Purchase,451667.19,6.919,2019-12-18
LNK-66909,Fixed Purchase,592683.39,7.529,2022-03-24
LNK-70615,Refinance,144533.73,3.491,2021-05-06
LNK-21635,Fixed Purchase,377336.95,6.137,2025-12-26
LNK-8455,Fixed Purchase,1116403.95,6.636,2019-06-28
LNK-67562,Fixed Purchase,192372.39,4.930,2024-03-19
LNK-11500,Fixed Purchase,292925.15,7.457,2026-05-27
LNK-25356,Fixed Purchase,241485.13,5.431,2023-04-09
LNK-9981,Fixed Refinance,568571.55,5.788,2019-12-27
LNK-78992,Refinance,330022.65,3.486,2021-10-10
LNK-9907,Fixed Purchase,347114.07,3.830,2022-12-12
LNK-89501,Fixed Purchase,617857.01,4.950,2019-09-11
LNK-31828,Jumbo Purchase,561365.12,3.878,2025-03-23
LNK-53923,Fixed Purchase,267855.59,4.347,2023-04-15
LNK-16713,Refinance,551895.29,5.069,2025-06-04
LNK-75668,FHA Purchase,571708.44,6.109,2021-04-26
LNK-33271,Refinance,450966.02,3.952,2024-11-15
LNK-76880,ARM,571316.12,5.528,2025-05-02
LNK-78924,Fixed Purchase,383177.06,4.265,2022-07-24
LNK-6209,Fixed Purchase,100773.59,7.982,2023-08-12
LNK-82183,Fixed Refinance,524608.71,6.353,2020-09-14
LNK-11745,Fixed Purchase,183839.38,6.412,2021-12-29
LNK-55948,Refinance,404052.97,3.504,2019-11-22
LNK-87163,ARM,353743.65,5.734,2023-03-12
LNK-77503,ARM,338508.10,3.937,2023-08-01
LNK-75085,Fixed Purchase,229374.41,6.979,2021-04-10
LNK-69522,Fixed Purchase,581000.22,7.522,2024-06-29
LNK-42467,Jumbo Purchase,559859.00,7.127,2025-10-26
LNK-35179,ARM,252400.16,5.847,08/29/2025
LNK-27772, Refinance ,737453.03,5.228,2019-06-23
LNK-88782,Fixed Purchase,372759.99,3.921,2023-05-06
LNK-94872,Refinance,111373.07,4.992,2022-06-01
LNK-42180,Fixed Purchase,174070.33,7.748,2024-10-18
LNK-32285,ARM,430664.31,4.952,2021-01-06
LNK-35814,FHA Purchase,457421.07,5.549,2024-01-21
LNK-52876,ARM,564690.37,6.365,2020-01-05
LNK-18154,Refinance,570331.92,6.273,2020-05-21
LNK-85607,Fixed Refinance,424228.74,6.229,2024-09-26
LNK-40321,Fixed Purchase,786707.98,5.208,2026-05-25
LNK-60929,Fixed Purchase,162364.95,3.973,
LNK-42441,Fixed Refinance,323748.16,3.870,2020-06-22
LNK-99548,Fixed Purchase,1048102.09,5.919,2019-01-24
LNK-10508,ARM,201027.51,4.779,2023-12-15
LNK-2220, Refinance ,215921.55,5.879,2025-04-02
LNK-61068,Fixed Purchase,929215.87,4.382,2019-05-13
LNK-82416,Jumbo Purchase,"$244,666.23",3.963,2023-09-04
LNK-74792,Fixed Purchase,237143.59,6.794,2025-06-02
LNK-14104, Fixed Purchase ,"$328,605.74",7.802,2020-01-17
LNK-10602,ARM,565178.43,5.906,2025-03-04
LNK-71468,ARM,150282.43,4.318,2023-08-22
LNK-28938,Refinance,412448.75,6.319,2026-01-20
LNK-67307,Fixed Purchase,472379.66,7.179,2022-03-22
LNK-18361,Jumbo Purchase,223918.12,6.461,2020-06-15
LNK-46745,ARM,"$475,113.84",6.090,2025-11-01
LNK-10016,Fixed Purchase,188552.16,5.772,2020-04-28
LNK-33018,Fixed Purchase,414189.78,3.948,2022-12-03
LNK-49434,Refinance,91044.04,4.527,2019-10-05
LNK-38353,Refinance,1198668.63,4.765,2025-05-19
LNK-21676,Fixed Purchase,178961.56,5.220,2024-05-16
LNK-58433,Fixed Refinance,30423.94,5.909%,2025-01-08
LNK-72200,ARM,520579.14,3.307,2024-11-04
LNK-93214,Fixed Refinance,253794.02,4.233,2022-09-20
LNK-40651,Jumbo Purchase,274173.61,4.970,2019-05-08
LNK-81173,ARM,370836.15,5.341,2021-02-06
LNK-86717,Jumbo Purchase,487074.01,5.118,2019-05-10
LNK-70329,Fixed Purchase,554221.07,7.358,2022-05-24
LNK-2025,Fixed Purchase,145043.73,7.133,2020-01-15
LNK-88538,Fixed Purchase,343224.81,4.577,2024-06-03
LNK-73692,Refinance,499910.27,6.887,2024-10-15
LNK-40240,Fixed Purchase,472645.29,6.854,2024-11-09
LNK-87951,Fixed Purchase,108556.03,7.543%,2022-09-27
LNK-14577,Fixed Purchase,363509.08,5.109,2025-06-23
LNK-18601, Refinance ,197267.44,4.546,2024-12-20
LNK-35664,ARM,147943.20,4.112,2019-03-04
LNK-16129,Refinance,139770.78,5.597,2022-01-15
LNK-15029,Fixed Refinance,236548.22,3.685,2025-11-16
LNK-98310,Refinance,1372633.93,3.602,2023-04-21
LNK-21374,ARM,180755.90,5.293,2024-01-01
LNK-36697,Fixed Purchase,522331.46,6.668,2024-12-25
LNK-37930,FHA Purchase,493969.13,4.154,2024-04-02
LNK-80276,Fixed Purchase,429763.96,5.797,2021-07-05
LNK-28607,Jumbo Purchase,223058.23,4.548,2022-09-15
LNK-95058,Jumbo Purchase,1030267.49,5.279,2024-03-04
LNK-45942,Fixed Purchase,27109.26,5.960,2023-07-20
LNK-27685,Fixed Refinance,259340.30,6.570,2024-12-22
LNK-91111,Refinance,212637.78,4.036%,05/29/2024
LNK-84130,ARM,520444.90,6.002,2023-11-19
LNK-35600,ARM,456361.24,5.578,2025-06-09
LNK-67244,Fixed Purchase,403900.39,4.175,2023-12-29
LNK-65032, FHA Purchase ,122240.08,7.291,2023-04-02
LNK-33914,Refinance,117892.99,3.956,2025-07-06
LNK-7658,Refinance,85098.62,3.997,2024-12-16
LNK-13097,Refinance,324230.48,6.910,2022-05-12
LNK-84136,Jumbo Purchase,247934.32,5.641,2022-11-11
LNK-56518,Refinance,412147.55,6.791,2022-04-19
LNK-37265,Jumbo Purchase,1098024.21,0.0801,2020-03-25
LNK-6778,Jumbo Purchase,210854.03,5.465,2022-07-27
LNK-1464, ARM ,317826.68,3.742,2020-07-23
LNK-44719,ARM,579597.89,3.671,2020-05-29
LNK-18146,Fixed Purchase,93403.67,5.867,2023-11-24
LNK-84507,Fixed Purchase,158412.84,7.492,2025-10-11
LNK-35335,Refinance,328100.98,6.680,2023-04-25
LNK-22178,Fixed Purchase,408446.69,7.434%,2021-08-27
LNK-98154,Fixed Purchase,50711.98,3.896,2019-06-05
LNK-58912,Fixed Refinance,145542.94,6.162,2020-08-04
LNK-73309,Refinance,544752.60,4.518%,2024-10-18
LNK-93493,Jumbo Purchase,132318.80,6.976,2019-11-16
LNK-57057,Refinance,395101.22,7.014,2024-12-31
LNK-74519,ARM,359274.76,5.815,2023-09-21
LNK-2267,FHA Purchase,242620.60,6.773%,2025-09-13
LNK-15663,Fixed Refinance,386582.86,5.293,2020-11-23
