ledger_id,loan_id,due_date,paid_date,emi_due,emi_paid
TXN-88011,LNK-66597,2020-05-01,2020-05-11,1497.67,1473.72
TXN-75747,LNK-66597,2020-06-01,2020-07-12,1465.31,398.91
TXN-16018,LNK-66597,2020-07-01,2020-06-29,1450.70,1448.73
TXN-28142,LNK-66597,2020-08-01,2020-07-29,1438.50,1436.30
TXN-83023,LNK-17505,2023-05-01,2023-05-11,1282.44,1278.61
TXN-49735,LNK-17505,2023-06-01,2023-06-13,1224.24,1215.99
TXN-46503,LNK-17505,2023-07-01,2023-06-29,1230.69,1206.39
TXN-10252,LNK-17505,2023-08-01,2023-08-06,1229.56,1219.19
TXN-30137,LNK-17505,2023-09-01,,1268.85,0.00
TXN-69078,LNK-47090,2021-01-01,2020-12-30,1501.09,1485.34
TXN-77834,LNK-47090,2021-02-01,2021-03-12,1504.20,886.09
TXN-36236,LNK-47090,2021-03-01,2021-03-04,1442.33,1434.02
TXN-65036,LNK-47090,2021-04-01,2021-05-03,1515.41,1441.92
TXN-27285,LNK-93743,2019-08-01,2019-08-08,689.96,682.14
TXN-96379,LNK-93743,2019-09-01,2019-09-13,731.83,724.13
TXN-59615,LNK-93124,2024-08-01,,2582.07,0.00
TXN-82375,LNK-93124,2024-09-01,2024-09-10,2614.84,2578.43
TXN-46165,LNK-76069,2022-03-01,2022-03-01,2977.50,2966.98
TXN-90995,LNK-76069,2022-04-01,2022-05-04,2909.44,1610.25
TXN-48807,LNK-76069,2022-05-01,2022-05-13,2837.79,2814.15
TXN-24259,LNK-60942,2021-07-01,2021-07-07,1935.44,1916.09
TXN-99738,LNK-60942,2021-08-01,2021-08-04,1932.82,1927.15
TXN-98935,LNK-60942,2021-09-01,2021-09-04,1880.47,1870.12
TXN-48446,LNK-60942,2021-10-01,2021-11-28,1862.63,1807.00
TXN-70004,LNK-60942,2021-11-01,,1867.64,0.00
TXN-88573,LNK-33717,2026-02-01,2026-02-12,2212.15,2182.02
TXN-17239,LNK-33717,2026-03-01,2026-02-28,2189.80,2178.73
TXN-44599,LNK-33717,2026-04-01,03/31/2026,2214.97,2178.63
TXN-47531,LNK-33717,2026-05-01,2026-05-13,2306.17,2291.34
TXN-69728,LNK-33717,2026-06-01,2026-05-30,2267.48,2254.06
TXN-52764,LNK-33717,2026-07-01,2026-07-05,2193.45,2156.95
TXN-20740,LNK-82851,2025-09-01,2025-09-19,1569.10,1525.31
TXN-55379,LNK-82851,2025-10-01,2025-10-10,1571.76,1562.78
TXN-76716,LNK-82851,2025-10-01,2025-10-10,1571.76,1562.78
TXN-40728,LNK-82851,2025-11-01,2026-01-03,1567.63,1507.64
TXN-74297,LNK-82851,2025-12-01,2025-12-09,1536.67,670.81
TXN-92966,LNK-82851,2026-01-01,2026-03-07,1528.02,1479.76
TXN-89376,LNK-82851,02/01/2026,2026-02-03,1600.01,1573.70
TXN-31854,LNK-3009,2026-05-01,2026-06-10,1880.87,1869.99
TXN-62533,LNK-3009,2026-06-01,,1870.04,0.00
TXN-93624,LNK-3009,2026-07-01,2026-07-04,1892.60,1861.07
TXN-12345,LNK-97321,2025-05-01,2025-05-24,2350.60,2265.10
TXN-66530,LNK-97321,2025-06-01,05/30/2025,"$2,299.17",2286.25
TXN-12761,LNK-97321,2025-07-01,2025-07-08,2280.97,2253.85
TXN-80761,LNK-97321,2025-08-01,2025-08-09,2368.67,2344.02
TXN-26930,LNK-97321,2025-09-01,10/31/2025,2273.18,2183.39
TXN-42653,LNK-97321,2025-10-01,2025-11-05,2374.49,939.42
TXN-99582,LNK-19136,2020-08-01,2020-08-05,2109.37,2075.87
TXN-77839,LNK-19136,2020-09-01,2020-10-25,2175.53,2083.50
TXN-29209,LNK-19136,2020-10-01,2020-10-01,2130.57,2110.20
TXN-11491,LNK-19136,2020-11-01,2020-10-29,2206.34,2202.36
TXN-99522,LNK-19136,2020-12-01,,2203.22,0.00
TXN-12133,LNK-17591,2019-08-01,2019-10-02,3217.02,3133.03
TXN-11807,LNK-17591,2019-09-01,2019-09-01,3155.17,3152.60
TXN-99382,LNK-17591,2019-10-01,2019-10-29,3248.22,1870.43
TXN-93425,LNK-17591,2019-11-01,2020-01-09,3263.61,3161.00
TXN-32582,LNK-17591,2019-12-01,NULL,3119.63,0.00
TXN-87866,LNK-35237,2019-09-01,2019-09-06, 3262.16 ,3257.22
TXN-71943,LNK-35237,2019-10-01,2019-10-07,3364.74,3305.32
TXN-80298,LNK-35237,2019-11-01,2019-11-05,3259.69,3227.85
TXN-11122,LNK-77869,2022-11-01,2022-11-09,1183.85,1167.30
TXN-65213,LNK-77869,2022-12-01,2022-12-04,1145.33,397.84
TXN-93606,LNK-12003,2020-06-01,2020-06-09,2898.24,2851.63
TXN-73140,LNK-12003,2020-07-01,2020-07-08,"$2,938.42",2927.61
TXN-82386,LNK-12003,2020-08-01,2020-09-30,2861.80,2826.39
TXN-28208,LNK-12003,2020-09-01,2020-09-03,2910.96,2902.36
TXN-92033,LNK-37932,2022-12-01,2023-01-09,3163.56,2080.98
TXN-45139,LNK-37932,2023-01-01,2022-12-31,3143.89,3083.70
TXN-65303,LNK-37932,2023-02-01,2023-02-01,3189.70,3173.32
TXN-51164,LNK-37932,2023-03-01,2023-02-26,3072.36,3024.67
TXN-92775,LNK-78236,2025-06-01,2025-07-01,1518.81,1469.81
TXN-51093,LNK-78236,2025-07-01,2025-07-13,1527.50,1518.97
TXN-36546,LNK-78236,2025-08-01,2025-08-11,1523.30,1514.21
TXN-10624,LNK-38938,2020-07-01,2020-07-25,1763.61,860.26
TXN-89903,LNK-38938,2020-08-01,2020-08-03,1754.32,1722.07
TXN-29325,LNK-38938,2020-09-01,,1763.22,0.00
TXN-29560,LNK-38938,2020-10-01,2020-10-10,1738.71,1735.92
TXN-33721,LNK-22992,2023-12-01,2023-12-13,2854.20,2805.29
TXN-32287,LNK-22992,2024-01-01,01/06/2024,2810.27,2766.30
TXN-25852,LNK-22992,2024-02-01,2024-04-02,2766.52,2635.03
TXN-26748,LNK-27922,2019-03-01,2019-03-12,1341.73,1330.52
TXN-77373,LNK-27922,2019-04-01,2019-04-09,1358.00,1356.69
TXN-81774,LNK-27922,2019-05-01,05/12/2019,1339.56,1314.64
TXN-51228,LNK-27922,2019-05-01,05/12/2019,1339.56,1314.64
TXN-23565,LNK-27922,2019-06-01,,1380.92,0.00
TXN-62261,LNK-27922,2019-07-01,2019-07-09,1353.97,1332.31
TXN-91714,LNK-27922,2019-08-01,08/09/2019,1380.62,1373.19
TXN-12736,LNK-58684,2024-12-01,2024-12-28,764.76,$750.43
TXN-36843,LNK-58684,2025-01-01,2025-01-26,736.82,720.55
TXN-51975,LNK-50377,2022-02-01,2022-02-06,3678.35,3651.83
TXN-80323,LNK-50377,2022-03-01,2022-04-05,"$3,699.41", 3690.92 
TXN-38449,LNK-50377,2022-04-01,05/20/2022,3663.28,3656.22
TXN-32875,LNK-50377,2022-05-01,2022-05-17,3636.92,"$2,430.51"
TXN-29592,LNK-99759,2024-03-01,2024-04-13,2861.44,2812.51
TXN-39837,LNK-99759,2024-04-01,2024-04-03,2979.47,2935.85
TXN-31812,LNK-99759,2024-05-01,2024-06-29,2964.48,2855.67
TXN-74865,LNK-99759,2024-06-01,NULL,2991.48,0.00
TXN-28826,LNK-99759,2024-07-01,2024-07-11,3001.54,2972.06
TXN-39556,LNK-50767,2025-11-01,2025-11-04,1461.59,1456.67
TXN-49973,LNK-50767,2025-12-01,2025-12-10,1448.10,1427.24
TXN-43953,LNK-19595,2020-08-01,2020-08-07,1039.61,1021.77
TXN-28112,LNK-19595,2020-09-01,2020-09-06,1028.72,718.75
TXN-45117,LNK-19595,2020-10-01,2020-10-09,1048.94,1029.69
TXN-19359,LNK-9232,2025-01-01,2025-02-08,3592.73,1016.01
TXN-61372,LNK-9232,2025-02-01,2025-02-12,3651.99,3590.43
TXN-17589,LNK-9232,2025-03-01,2025-03-05,3610.78,3569.89
TXN-77600,LNK-77380,2023-10-01,2023-10-03,3524.89,3523.99
TXN-38085,LNK-77380,2023-11-01,2023-11-11,3531.05,3485.54
TXN-82901,LNK-85085,2019-12-01,2019-11-29,2904.88,2863.97
TXN-78818,LNK-85085,2020-01-01,2020-01-29,3002.55,2899.28
TXN-94446,LNK-26200,2020-03-01,2020-03-13,3843.42,"$3,775.33"
TXN-97489,LNK-26200,04/01/2020,2020-04-04,"$3,850.11",3813.13
TXN-20679,LNK-5373,2025-08-01,2025-07-29,944.74,930.98
TXN-43330,LNK-5373,2025-09-01,2025-09-11,997.45,993.49
TXN-81208,LNK-5373,2025-10-01,2025-10-11,985.53,969.54
TXN-86560,LNK-5373,2025-11-01,2025-12-01,984.23,935.69
TXN-94959,LNK-92576,2022-05-01,2022-05-07,2519.64,2475.19
TXN-87970,LNK-92576,2022-06-01,2022-06-04,2437.70,2394.88
TXN-45523,LNK-65686,2023-08-01,2023-08-09,724.30,720.71
TXN-81033,LNK-65686,2023-09-01,2023-09-10,716.22,202.43
TXN-97735,LNK-65686,2023-10-01,2023-10-09,707.08,705.79
TXN-31856,LNK-65686,2023-11-01,2023-11-03,726.68,716.14
TXN-97878,LNK-65686,12/01/2023,2024-01-03,719.87,482.08
TXN-31506,LNK-93123,2025-05-01,2025-06-01,2966.99,1178.77
TXN-38129,LNK-93123,2025-06-01,2025-05-31,2890.05,2855.78
TXN-99884,LNK-93123,2025-07-01,2025-07-10,3010.35, 1234.79 
TXN-35107,LNK-93123,2025-08-01,2025-08-06,2988.08,2946.74
TXN-26633,LNK-73684,2019-09-01,2019-09-04,2570.76,2530.18
TXN-33128,LNK-73684,2019-10-01,2019-09-28,2572.59, 2565.46 
TXN-75812,LNK-87400,2025-12-01,2026-01-06,2780.57,838.96
TXN-49465,LNK-87400,2026-01-01,2026-01-08,2786.46,2758.62
TXN-65702,LNK-87400,2026-02-01,2026-02-04,2631.29,2626.34
TXN-61798,LNK-87400,2026-03-01,2026-03-05,2708.28,865.06
TXN-25658,LNK-87400,2026-04-01,2026-04-05,2719.63,2711.73
TXN-88868,LNK-87400,2026-05-01,2026-05-05,2709.07,2698.31
TXN-86507,LNK-31784,2025-01-01,2024-12-29,2338.39,2328.36
TXN-84327,LNK-31784,2025-02-01,2025-02-08,2294.12,2249.30
TXN-68288,LNK-56723,2022-09-01,2022-10-21,1541.80,1528.15
TXN-20627,LNK-56723,2022-10-01,2022-12-10,1551.69,1510.41
TXN-15950,LNK-56723,2022-11-01,2022-11-06,1553.94,1542.66
TXN-76626,LNK-56723,2022-12-01,,1573.52,$0.00
TXN-22295,LNK-56723,2023-01-01,,1549.55,$0.00
TXN-76719,LNK-14833,2021-03-01,2021-03-11,7317.70,4189.26
TXN-62431,LNK-14833,2021-04-01,2021-04-28,7182.14,7128.77
TXN-35795,LNK-14833,2021-05-01,2021-05-07,7032.09,7012.95
TXN-29229,LNK-35687,2020-12-01,2020-11-28,"$2,861.48",2813.44
TXN-24539,LNK-35687,2021-01-01,2020-12-31,2980.91,2960.87
TXN-41442,LNK-35687,2021-02-01,,2854.14,0.00
TXN-94301,LNK-29905,2020-10-01,2020-10-06,582.21,579.34
TXN-39724,LNK-29905,2020-11-01,,$572.77,0.00
TXN-68470,LNK-85092,2021-10-01,2021-11-14,566.14,400.96
TXN-15151,LNK-85092,2021-10-01,2021-11-14,566.14,400.96
TXN-51681,LNK-85092,2021-11-01,11/09/2021,556.29,553.12
TXN-99250,LNK-85092,2021-12-01,2021-11-29,542.78,539.96
TXN-33405,LNK-85092,2022-01-01,2022-02-11,542.55,516.94
TXN-20575,LNK-85092,2022-02-01,,572.05,0.00
TXN-44073,LNK-50207,12/01/2023,2024-02-13,1583.89,1562.26
TXN-55185,LNK-50207,2024-01-01,2024-01-08,1615.69,1586.73
TXN-96771,LNK-50207,2024-02-01,2024-02-06,1609.43,1582.90
TXN-56816,LNK-50207,2024-03-01,,1604.32,0.00
TXN-49573,LNK-50207,2024-04-01,,1623.64,0.00
TXN-43732,LNK-57120,2022-05-01,2022-05-05,2322.64,2305.82
TXN-68536,LNK-57120,2022-06-01,2022-06-09,2399.19,2388.26
TXN-27200,LNK-57120,07/01/2022,2022-07-21,2328.79,2286.40
TXN-30228,LNK-57120,2022-08-01,2022-09-21,2459.42,2339.51
TXN-72662,LNK-33411,2026-05-01,2026-07-01,6063.58,5812.14
TXN-13655,LNK-33411,2026-06-01,2026-06-08,6019.88,"$5,960.17"
TXN-16720,LNK-54948,08/01/2019,2019-07-30,578.69,574.44
TXN-44620,LNK-54948,2019-09-01,2019-09-08,570.02,562.68
TXN-77623,LNK-25920,2026-03-01,2026-03-04,2010.66,1982.18
TXN-90010,LNK-25920,2026-04-01,2026-04-09,1984.34,1977.96
TXN-99301,LNK-25920,2026-05-01,2026-05-02,1970.57,1958.36
TXN-93494,LNK-25920,2026-06-01,NULL,2053.22,0.00
TXN-91024,LNK-25920,2026-07-01,2026-07-13,2054.83,2019.20
TXN-74542,LNK-39504,2024-03-01,2024-02-29,471.60,465.78
TXN-44520,LNK-39504,2024-04-01,2024-04-07,461.67,458.67
TXN-43324,LNK-10710,2019-08-01,2019-08-28,1557.93,966.76
TXN-31666,LNK-10710,2019-09-01,2019-09-12,1568.07,1549.31
TXN-32951,LNK-10710,2019-10-01,2019-10-09,1554.54,1544.08
TXN-96196,LNK-10710,2019-11-01,2019-11-15,1554.85,469.33
TXN-54988,LNK-10710,2019-12-01,2019-12-10,1577.46,1576.83
TXN-90388,LNK-65866,2024-10-01,2024-10-03,2959.66,2948.34
TXN-99509,LNK-65866,2024-11-01,2024-11-05,2842.13,2840.55
TXN-69302,LNK-65866,2024-12-01,2024-11-30,2903.93,2877.00
TXN-36298,LNK-65866,2025-01-01,2025-01-12,2917.61,2879.10
TXN-14173,LNK-65866,2025-02-01,,2940.89,0.00
TXN-38623,LNK-15573,2023-07-01,2023-07-01,2827.92,2783.62
TXN-74437,LNK-15573,2023-08-01,2023-09-03,2852.30,1769.60
TXN-43169,LNK-15573,2023-09-01,2023-08-31,2745.09,2743.73
TXN-77516,LNK-15573,2023-10-01,2023-10-06,2864.80,2834.78
TXN-57807,LNK-15573,2023-11-01,2023-12-07,2799.50,2701.44
TXN-94902,LNK-19777,2019-12-01,2019-12-09,3516.81,3463.78
TXN-83717,LNK-19777,2019-12-01,2019-12-09,3516.81,3463.78
TXN-16842,LNK-19777,2020-01-01,2020-01-03,3467.73,3464.25
TXN-78768,LNK-36325,2021-06-01,2021-06-03,1699.66,1687.65
TXN-37790,LNK-36325,2021-07-01,2021-07-10,1724.79,1706.03
TXN-67402,LNK-36325,2021-08-01,2021-08-26,1684.79,1226.18
TXN-45235,LNK-36325,2021-09-01,2021-08-29,1755.96,1745.84
TXN-39139,LNK-36325,2021-10-01,2021-10-13,1706.97,1683.61
TXN-29013,LNK-32147,2020-07-01,2020-07-16,2408.71,2327.16
TXN-16605,LNK-32147,2020-08-01,2020-08-13,"$2,350.99",2327.87
TXN-16843,LNK-62797,2026-03-01,,865.64,0.00
TXN-62449,LNK-62797,2026-04-01,2026-04-03,838.10,830.66
TXN-96342,LNK-62797,2026-05-01,2026-05-10,867.67,864.76
TXN-10580,LNK-62797,2026-06-01,2026-06-02,857.95,851.49
TXN-94949,LNK-62797,2026-07-01,,849.15,0.00
TXN-82186,LNK-76965,2025-11-01,2025-11-13,1971.23,1935.02
TXN-42312,LNK-76965,2025-12-01,2025-12-07,2047.52,944.64
TXN-10258,LNK-76965,2026-01-01,2026-01-06,2015.09,1995.97
TXN-93762,LNK-76965,2026-02-01,2026-02-08,"$2,039.02",2032.75
TXN-69588,LNK-76965,03/01/2026,2026-02-26,2043.61,2025.48
TXN-73899,LNK-76965,2026-04-01,,1994.71,0.00
TXN-41872,LNK-96491,2024-12-01,2024-12-08,3265.22,3246.95
TXN-66978,LNK-96491,2025-01-01,2025-01-11,3269.98,3248.35
TXN-97057,LNK-96491,2025-02-01,2025-03-01,3213.98,1811.62
TXN-60047,LNK-96491,2025-03-01,,3127.70,0.00
TXN-73305,LNK-99176,2024-07-01,2024-06-28,558.65,547.83
TXN-57635,LNK-99176,2024-08-01,2024-08-04,560.31,552.25
TXN-76551,LNK-99176,2024-09-01,2024-09-02,545.48,542.65
TXN-56626,LNK-99176,2024-10-01,2024-10-05,566.25,557.20
TXN-86226,LNK-31340,2026-04-01,2026-03-30,575.18,565.05
TXN-78001,LNK-31340,2026-05-01,2026-05-13,573.11,571.67
TXN-67903,LNK-39986,2023-04-01,2023-04-07,1447.48,1421.62
TXN-73769,LNK-39986,2023-05-01,05/17/2023,1464.59,1393.16
TXN-22271,LNK-39986,2023-06-01,,1395.41,0.00
TXN-51573,LNK-39986,2023-07-01,2023-08-02,1435.68,1388.48
TXN-71316,LNK-68286,2019-09-01,10/07/2019,1902.52,1079.92
TXN-40719,LNK-68286,10/01/2019,2019-09-28,1972.75,1948.41
TXN-39659,LNK-68286,2019-11-01,2019-11-12,1957.45,1937.96
TXN-40488,LNK-68286,2019-12-01,,1960.17,0.00
TXN-53567,LNK-68286,2020-01-01,01/25/2020,1954.63,1890.98
TXN-39148,LNK-68286,2020-02-01,2020-03-09,1880.57,1861.31
TXN-75737,LNK-38752,2024-04-01,2024-04-07,2291.71,2284.66
TXN-37770,LNK-38752,2024-05-01,2024-05-09,2278.67,2237.76
TXN-75380,LNK-38752,2024-06-01,2024-05-31,2335.38,2316.81
TXN-87309,LNK-80800,2020-01-01,2019-12-29,790.39,786.61
TXN-14885,LNK-80800,2020-02-01,NULL,$812.84,0.00
TXN-34162,LNK-80800,2020-03-01,2020-02-28,775.91,767.29
TXN-42328,LNK-80800,2020-04-01,2020-04-04,810.36,807.75
TXN-80014,LNK-15029,2025-12-01,2025-12-09,1058.54,1043.52
TXN-87610,LNK-15029,2026-01-01,2026-01-06,1084.24,1074.20
TXN-48144,LNK-15029,2026-02-01,2026-02-08,1101.46,1098.97
TXN-98460,LNK-15029,2026-03-01,2026-04-11,1104.44,1059.06
TXN-17342,LNK-42207,01/01/2024,2024-02-15,3048.14,1748.12
TXN-52797,LNK-42207,2024-02-01,2024-02-10,2926.07,2922.23
TXN-67254,LNK-42207,2024-03-01,2024-03-03,2913.29,2861.35
TXN-87875,LNK-42207,2024-04-01,2024-04-01,2981.75,2950.65
TXN-47938,LNK-42207,2024-05-01,2024-05-11,2921.80,2881.09
TXN-99003,LNK-50412,2019-02-01,2019-02-12,5395.83,2320.37
TXN-70096,LNK-50412,2019-03-01,2019-03-08,5278.91,5175.68
TXN-59783,LNK-33591,2025-12-01,2025-11-28,"$1,055.12",1046.92
TXN-23730,LNK-33591,2026-01-01,2026-01-03,1044.05,1031.07
TXN-90205,LNK-33591,2026-02-01,2026-01-30,1099.52,1077.82
TXN-32120,LNK-33591,2026-03-01,2026-02-26,1102.96,1090.79
TXN-70730,LNK-33591,2026-04-01,NULL,1058.45,0.00
TXN-78746,LNK-33591,2026-05-01,2026-05-07,1079.61,1058.03
TXN-25702,LNK-75498,2022-08-01,2022-07-29,1362.22,1347.31
TXN-30105,LNK-75498,2022-09-01,2022-09-05,1352.00,949.48
TXN-98674,LNK-75498,2022-10-01,2022-10-13,1389.51,1363.04
TXN-15756,LNK-51132,2023-02-01,2023-03-22,1092.89,1089.94
TXN-70478,LNK-51132,2023-03-01,2023-03-03,1122.76,1115.24
TXN-89377,LNK-51132,2023-04-01,2023-04-10,1083.41,1076.26
TXN-92835,LNK-51132,2023-05-01,2023-07-07,1111.13,1067.10
TXN-62535,LNK-10447,2025-09-01,2025-09-13,"$2,899.96",2870.48
TXN-30282,LNK-10447,2025-10-01,2025-09-28,3023.48,2981.71
TXN-46682,LNK-10447,2025-11-01,2025-11-08, 2962.19 ,2915.08
TXN-80904,LNK-10447,2025-12-01,2025-12-16,2877.00,961.69
