financial_id,loan_id,origination_salary,current_salary,origination_credit_score,current_credit_score
FIN-87084,LNK-30871,7755.47,7451.87,673,681
FIN-40295,LNK-38930,10884.96,13681.35,768,788
FIN-14497,LNK-11458,7902.38,,602,
FIN-66667,LNK-31512,7177.31,6999.55,623,634
FIN-52109,LNK-14238,10473.01,5354.41,657,468
FIN-76275,LNK-50823,4929.44,5674.89,600,613
FIN-30146,LNK-37434,158949.12,17676.94,759,773
FIN-6861,LNK-60429,4195.68,3939.42,658,657
FIN-30646,LNK-84320,19307.16,20860.44,712,740
FIN-88986,LNK-48819,17171.50,8582.00,666,545
FIN-22212,LNK-22319,9532.18,"$9,900.53",708,698
FIN-51740,LNK-49520,17258.74,24632.26,796,800
FIN-39977,LNK-47566,4518.49,4176.75,654,646
FIN-86765,LNK-28460,8843.41,12283.85,670,703
FIN-44058,LNK-88841,10940.63,8715.46,779,629
FIN-53508,LNK-35993,21141.40,19915.76,707,691
FIN-34646,LNK-92988,21398.54,21696.56,812,804
FIN-81577,LNK-90593,16056.94,21527.72,776,794
FIN-57282,LNK-85939,18216.09,18304.63,716,714
FIN-62245,LNK-10358,19595.28,23121.21,753,783
FIN-40126,LNK-80840,21612.93,20778.28,779,792
FIN-15311,LNK-84227,10602.64,12662.57,719,716
FIN-78178,LNK-23431,10707.77,12355.15,808,846
FIN-81330,LNK-71010,3169.80,3183.84,644,654
FIN-11920,LNK-96568,19534.82,26863.91,588,578
FIN-53596,LNK-33087,6116.23,6185.14,726,737
FIN-5850,LNK-22417,16428.62,15590.74,824,821
FIN-43323,LNK-61589,14570.69,14748.05,655,638
FIN-95099,LNK-50735,21634.65,26835.44,758,792
FIN-90743,LNK-36382,19019.02,9590.49,708,519
FIN-99662,LNK-84886,4955.12,6674.52,807,842
FIN-31237,LNK-91198,15248.53,14689.59,698,710
FIN-80852,LNK-74000,8263.67,10610.80,639,649
FIN-90355,LNK-29785,18469.40,23462.07,790,790
FIN-3678,LNK-90733,20261.38,20217.33,603,580
FIN-51712,LNK-43504,11343.16,12188.83,606,589
FIN-33790,LNK-8331,14760.88,14377.90,683,662
FIN-75596,LNK-31021,7396.63,10352.20,779,805
FIN-5350,LNK-5207,8211.36,11424.26,624,654
FIN-74997,LNK-42347,15032.32,17258.45,762,774
FIN-95282,LNK-53581,17913.77,25200.64,631,661
FIN-94015,LNK-36093,6044.45,6017.25,671,671
FIN-99394,LNK-9675,165798.48,14169.24,592,575
FIN-64772,LNK-28653,9053.66,8990.42,762,767
FIN-85564,LNK-75341,4389.52,4129.59,766,745
FIN-3027,LNK-95098,19413.85,27837.80,752,775
FIN-31076,LNK-42245,8129.83,11580.16,704,740
FIN-40107,LNK-28869,5027.08,4686.10,818,818
FIN-18129,LNK-86909,10131.03,10889.38,729,736
FIN-45078,LNK-66435,17358.37,18192.25,624,618
FIN-87770,LNK-52856,12197.88,16776.15,751,774
FIN-16006,LNK-85259,19273.19,27715.37,627,632
FIN-93427,LNK-61142,16654.95,16101.72,752,758
FIN-79142,LNK-19726,3884.92,4125.70,741,725
FIN-60064,LNK-35718,6113.57,6802.75,772,803
FIN-90479,LNK-19301,13454.60,10575.46,773,625
FIN-7957,LNK-33325,13777.62,14030.04,750,750
FIN-17172,LNK-98647,3174.95,3104.13,764,752
FIN-73392,LNK-74579,6928.15,7479.59,697,676
FIN-10063,LNK-71644,10528.21,13284.94,607.0,646
FIN-97651,LNK-35438,224626.56,20195.50,700,675
FIN-49989,LNK-98912,17185.85,18190.71,591,632
FIN-74223,LNK-77622,12787.59,8109.65,772,688
FIN-76218,LNK-57155,16336.94,17140.93,728,717
FIN-14086,LNK-77484,12375.24,16718.76,588,614
FIN-25619,LNK-53350,19890.29,"$19,904.95",732,716
FIN-53049,LNK-48447,16078.04,15575.04,692,693
FIN-72411,LNK-29746,6179.25,5743.50,701,694
FIN-19638,LNK-19131,7965.21,7731.56,614,616
FIN-76966,LNK-67784,9720.65,10145.89,710,695
FIN-52283,LNK-65686,11377.57,,727,
FIN-61889,LNK-12915,20453.20,9987.28,775,618
FIN-2412,LNK-7175,3971.39,3767.77,736,725
FIN-61603,LNK-15371,5200.14,6839.85,811,817
FIN-37342,LNK-21033,21098.18,20906.78,641,616
FIN-23957,LNK-83240,16542.35,13181.84,772,648.0
FIN-16448,LNK-21969,3553.07,3459.28,690,697
FIN-44530,LNK-90192,15228.09,14983.74,702,700
FIN-33322,LNK-56333,9377.88,9351.15,742,753
FIN-9779,LNK-79172,3274.69,3907.57,794,797
FIN-79428,LNK-9326,20543.67,21959.39,629.0,612
FIN-33632,LNK-51432,7226.52,7962.23,716,728
FIN-84573,LNK-51019,5859.34,7370.20,699,697.0
FIN-53163,LNK-79104,18791.67,23469.24,625,626
FIN-96502,LNK-62348,13930.82,6336.92,638,568
FIN-19159,LNK-70352,16880.30,18083.57,719,753
FIN-45686,LNK-33953,5537.44,5923.38,588,576
FIN-23527,LNK-73512,3013.90,2885.25,774,761
FIN-53629,LNK-2504,"$14,939.31",15681.97,633.0,642
FIN-1451,LNK-90166,10453.57,11321.17,672,703
FIN-19428,LNK-95466,13310.56,15410.34,636,654
FIN-23836,LNK-16014,12856.28,16719.85,772,805
FIN-15821,LNK-90353,11968.36,"$12,272.31",718,694
FIN-56501,LNK-71381,15328.92,15008.92,760,757
FIN-75892,LNK-99419,16775.80,18257.84,705,737
FIN-97334,LNK-35973,17997.77,,691,
FIN-4287,LNK-85012,6760.17,4872.45,630,594
FIN-73142,LNK-45587,12962.93,12471.53,613,621
FIN-93777,LNK-15621,6896.99,7346.72,734,753
FIN-67852,LNK-39469,14458.02,19095.80,712,757
FIN-60702,LNK-57985,6855.56,7261.02,622,618
FIN-49082,LNK-21730,9983.31,10261.55,668,666
FIN-37221,LNK-60470,15873.96,17478.92,582,597
FIN-68423,LNK-1425,19637.46,24735.41,743.0,775
FIN-2371,LNK-95646,10542.83,11370.18,706,707
FIN-19555,LNK-95329,19519.98,25001.24,716,733
FIN-80099,LNK-35522,13542.67,13793.24,807,782
FIN-31396,LNK-66612,9231.02,9757.58,677,662
FIN-27081,LNK-24416,9044.88,8900.80,812,815
FIN-49241,LNK-67542,13797.01,15744.33,734,740
FIN-72465,LNK-14947,20405.51,19429.51,724,721
FIN-31250,LNK-82959,17086.70,16910.31,749,747
FIN-66992,LNK-40117,11822.66,11287.71,593,577
FIN-40065,LNK-84748,4547.96,6114.83,821,840
FIN-26182,LNK-67540,10099.25,10394.79,622,619
FIN-90449,LNK-80818,15410.79,15952.80,791,777
FIN-82468,LNK-27071,16810.51,16823.94,648,659
FIN-84725,LNK-21032,21610.02,21234.65,784,765
FIN-11837,LNK-50009,3441.00,2054.01,690,601
FIN-1558,LNK-22174,16763.33,18995.35,799,836
FIN-54510,LNK-71697,8743.20,10744.60,776,801
FIN-48459,LNK-70514,14856.64,14783.02,671,685
FIN-59803,LNK-1074,20837.35,16592.24,783,607
FIN-32367,LNK-79504,14634.11,6424.70,604,520
FIN-43765,LNK-43487,20804.03,27351.94,743,768
FIN-12070,LNK-65042,8282.83,11395.88,763,770
FIN-63916,LNK-3552,21258.23,24488.98,706,746
FIN-41828,LNK-15662,21239.71,21037.44,720,698
FIN-45311,LNK-48576,17898.48,,708,
FIN-34255,LNK-41306,9169.70,9783.54,602,612
FIN-50464,LNK-32385,13212.55,17784.89,693,688
FIN-76223,LNK-8592,20509.37,19644.33,693,685
FIN-29530,LNK-32571,7869.24,5655.90,710,601
FIN-91474,LNK-75364,12464.59,12957.00,594,578
FIN-93539,LNK-11322,12620.88,12806.04,752,751
FIN-46240,LNK-12226,18202.53,20316.93,818,822
FIN-17006,LNK-96932,235169.04,19686.44,732,728
FIN-4407,LNK-64699,4952.28,6558.86,679,671
FIN-22354,LNK-10071,"$12,484.55",7297.23,591,454
FIN-97259,LNK-70822,8758.55,8592.85,580,574
FIN-11680,LNK-17483,3925.09,3774.09,650,654
FIN-40879,LNK-17828,20348.92,166964.04,600,519
FIN-7171,LNK-87474,6206.45,6626.70,773,778
FIN-12590,LNK-63296,18470.04,17917.45,669,679
FIN-20731,LNK-73063,16435.08,21871.21,743.0,769
FIN-72182,LNK-22643,3652.76,4277.67,660,683
FIN-33052,LNK-35741,6925.26,,686,
FIN-25824,LNK-70163,18446.51,17902.42,580,556
FIN-12374,LNK-80507,9303.73,10487.25,712,702
FIN-75888,LNK-56461,19618.65,8494.13,655,555
FIN-44308,LNK-28760,4617.80,4921.63,723,701
FIN-49187,LNK-71686,"$20,355.15",26239.72,735,761
FIN-68269,LNK-99994,5025.97,,765,
FIN-84202,LNK-96673,9639.84,3785.57,788,749
FIN-77402,LNK-91422,20631.08,20426.49,708,710
FIN-93606,LNK-27365,12255.14,12326.25,744,738
FIN-64201,LNK-94447,5633.98,7509.27,772,815
FIN-75221,LNK-41857,19112.52,,796,
FIN-76784,LNK-53296,20433.45,26360.48,601,600
FIN-2564,LNK-89039,7024.06,7583.81,629,663
FIN-29907,LNK-86180,5933.31,,821,
FIN-45416,LNK-49944,3801.51,4315.77,803,836
FIN-80023,LNK-58422,20635.19,20708.32,669,668
FIN-60479,LNK-68839,11420.14,11216.70,607,586
FIN-14102,LNK-60177,"$20,008.89",28253.48,781,818
FIN-65589,LNK-16860,3430.24,3188.50,679,691
FIN-65611,LNK-33493,9915.49,4889.33,752,585
FIN-11675,LNK-30451,5063.29,5331.82,596,605
FIN-64692,LNK-9392,5131.63,7160.63,761,792
FIN-92653,LNK-45313,19596.19,19937.01,636,623
FIN-4516,LNK-3757,9031.29,9386.10,776,782
FIN-26198,LNK-78110,20373.29,14355.30,636,475.0
FIN-5280,LNK-73603,18467.09,18261.66,748,755
FIN-46272,LNK-31161,21931.70,30448.38,805,832
FIN-54845,LNK-78128,14958.70,14730.28,720,698
FIN-66577,LNK-29864,9698.76,9061.05,616,594
FIN-60231,LNK-1942,18018.05,"$7,299.15",781,661
FIN-8468,LNK-10305,20875.36,28337.71,644,650
FIN-76121,LNK-93778,18299.64,25630.06,759,753
FIN-40775,LNK-83719,12391.61,4549.75,778,729
FIN-10661,LNK-8716,8044.96,,742,
FIN-17982,LNK-31007,10555.65,11081.84,769,765
FIN-34246,LNK-9834,20305.07,14669.66,757,683
FIN-92573,LNK-5117,10448.80,9981.43,738,753
FIN-51067,LNK-44309,18795.34,17413.87,646,630
FIN-1630,LNK-10287,8064.25,8277.35,748,724
FIN-44248,LNK-68391,9694.46,14044.61,693,710
FIN-13218,LNK-32195,19081.06,24821.41,653,672
FIN-52401,LNK-37500,10298.26,,668,
FIN-34209,LNK-88684,10302.33,11994.76,615,638
FIN-71892,LNK-64624,10496.40,10149.59,762,761
FIN-31390,LNK-29080,8947.24,9876.86,780,813
FIN-84177,LNK-71678,14488.01,14228.58,610,609
FIN-83732,LNK-18342,17559.58,17378.05,776,763
FIN-73781,LNK-95811,12824.19,13729.53,804,814
FIN-78410,LNK-75847,14921.47,18132.95,746,738
FIN-43042,LNK-76525,9895.89,,705,
FIN-28372,LNK-62953,4007.79,4286.58,823,806
FIN-32335,LNK-32850,198750.36,6899.65,625,486
FIN-59748,LNK-62993,9358.16,12937.25,580,603
FIN-51486,LNK-54354,18868.81,22143.68,679,673
FIN-74218,LNK-25957,4873.61,,777,
FIN-34930,LNK-13363,9711.63,11081.60,630,669
FIN-16113,LNK-13704,16604.65,16263.17,685,661
FIN-74053,LNK-87374,21245.05,20524.94,618,608
FIN-60447,LNK-57498,16731.55,17612.49,601,600
FIN-53915,LNK-47438,13910.12,19552.65,637,673
FIN-60966,LNK-56519,18436.20,24082.66,599,606
FIN-61920,LNK-54883,"$18,302.95",19152.26,711,700
FIN-88455,LNK-62213,20213.13,26729.15,742,761
FIN-58092,LNK-96561,12048.90,,803,
FIN-8948,LNK-8100,5652.88,6901.23,715,714
FIN-2230,LNK-89259,6966.61,7040.01,754,762
FIN-51826,LNK-86649,4893.75,1806.70,754,709
FIN-37675,LNK-85696,232093.20,10323.89,698,640
FIN-30417,LNK-13899,17292.55,16509.67,665,663
FIN-41653,LNK-8944,11471.84,12287.09,668,651
FIN-43545,LNK-53772,17531.10,17594.71,716,700
FIN-86990,LNK-96448,17338.15,17688.98,660,654
FIN-94638,LNK-45473,6365.04,72746.04,609,588
FIN-77955,LNK-15322,21423.95,28984.27,721,712
FIN-94844,LNK-33591,21710.17,21243.05,721,729
FIN-60643,LNK-26112,21273.92,16894.79,692,603
FIN-89646,LNK-25931,10090.07,9354.32,612,621
FIN-84233,LNK-71292,12306.76,12693.28,708,711.0
FIN-88594,LNK-59800,186845.16,105135.36,633,461
FIN-31563,LNK-19373,18573.78,22400.17,672,700
FIN-11489,LNK-56296,9931.22,10969.09,612,608
FIN-84761,LNK-25050,3461.76,4620.58,820,815
FIN-62920,LNK-37509,21130.15,21588.49,611,586
FIN-31976,LNK-61637,4367.10,5206.41,731,771
FIN-6846,LNK-33742,10133.46,10470.42,659,651
FIN-30838,LNK-10880,6899.84,7023.85,702,683
FIN-30595,LNK-59082,15923.68,15228.34,642,634
FIN-24205,LNK-73132,20710.47,,737,
FIN-35628,LNK-13833,3282.89,"$1,453.37",742,629
FIN-77040,LNK-7630,8589.34,8402.84,762,771
FIN-56076,LNK-86477,18423.48,23964.52,767,790
FIN-99096,LNK-71855,4572.55,5737.15,593,628
FIN-95707,LNK-2934,18332.76,9438.81,731,580
FIN-96065,LNK-13224,7698.44,8286.76,636,643
FIN-60138,LNK-99771,20138.03,18672.10,815,803
FIN-44690,LNK-31982,5875.42,"$6,224.13",662,653
FIN-99950,LNK-22798,20644.08,19949.90,632,614.0
FIN-66519,LNK-54269,16851.25,23611.23,714,717
FIN-35606,LNK-64653,13467.05,13405.85,799,805
FIN-45601,LNK-64092,11613.62,11399.92,800,797
FIN-16245,LNK-29016,2871.65,41388.00,763,761
FIN-1042,LNK-53565,21855.43,23998.54,626,666
FIN-40609,LNK-8685,13144.31,9503.96,634,572
FIN-72151,LNK-22579,21201.03,12721.01,664,568
FIN-37818,LNK-50672,7819.42,,630,
FIN-70904,LNK-1282,8547.80,11176.58,794,811
FIN-6660,LNK-52173,15515.34,,748,
FIN-77893,LNK-35760,8044.75,7699.29,626,613
FIN-40776,LNK-60638,20351.60,19830.77,787,779
FIN-92869,LNK-38388,21993.59,17264.18,748,637
FIN-58512,LNK-56444,18128.08,17124.57,646,632
FIN-96074,LNK-92303,19560.03,24197.19,754,749
FIN-29471,LNK-96748,16384.40,16935.76,820,809
FIN-16344,LNK-73845,7646.47,8318.89,756,772
FIN-71962,LNK-87752,13924.18,18731.44,789,814
FIN-13154,LNK-95163,16427.20,"$15,791.16",598,612
FIN-46146,LNK-64788,13817.12,12942.55,775,776
FIN-51727,LNK-21289,"$16,035.47",16026.60,705,705
FIN-3560,LNK-25890,12777.60,150046.44,633,631.0
FIN-45683,LNK-39890,10962.79,11446.13,602,608
FIN-38946,LNK-29534,14235.81,,788,
FIN-22259,LNK-8665,13316.34,12885.49,690,696
FIN-64392,LNK-76914,6486.18,5980.76,787,793
FIN-7745,LNK-97434,5007.64,5324.44,599,594
FIN-60639,LNK-72066,4840.24,5201.92,658,651
FIN-78902,LNK-8989,6617.15,8269.83,620,658.0
FIN-77503,LNK-99038,21862.20,20417.65,801,809
FIN-48170,LNK-42104,4667.18,6351.73,812,850
FIN-76985,LNK-8492,11637.17,11286.87,740,753
FIN-95125,LNK-7572,4519.60,5615.53,715,747
FIN-40176,LNK-77569,10123.27,10240.37,698,687
FIN-63563,LNK-63493,6284.94,4110.43,610,431
FIN-55205,LNK-66909,17424.17,206826.84,637,623
FIN-16383,LNK-70615,12571.21,12703.77,620,612
FIN-14786,LNK-21635,14712.64,15100.05,772,770
FIN-15090,LNK-8455,15894.86,15022.44,804,810
FIN-7714,LNK-67562,5076.06,5955.75,738,734
FIN-64454,LNK-11500,11757.66,,626,
FIN-76514,LNK-25356,21355.11,20809.55,710,720
FIN-62952,LNK-9981,19455.69,284373.84,596,588
FIN-52407,LNK-78992,12855.91,15937.64,821,833
FIN-41196,LNK-9907,21737.15,22884.71,815,827
FIN-59926,LNK-89501,6880.73,7760.22,798,814
FIN-48455,LNK-31828,19767.20,10322.54,618,553
FIN-39001,LNK-53923,12261.66,12853.99,803,800
FIN-89291,LNK-16713,18322.73,24628.33,712,730
FIN-98410,LNK-75668,10235.12,10757.95,742,733
FIN-47018,LNK-33271,17095.97,18031.35,787,777
FIN-55831,LNK-76880,11312.37,10986.06,589,604
FIN-45750,LNK-78924,3251.54,3221.72,623,636
FIN-61468,LNK-6209,13535.84,14254.32,714,728
FIN-20642,LNK-82183,19667.10,18907.79,804,780
FIN-68074,LNK-11745,18250.81,18408.40,821,798
FIN-75091,LNK-55948,12055.16,5464.69,635,495
FIN-60757,LNK-87163,9939.97,9444.54,764,777
FIN-20883,LNK-77503,10615.97,11424.51,714,691
FIN-22812,LNK-75085,8112.57,10058.67,697,700
FIN-51777,LNK-69522,18216.28,213410.16,764,763
FIN-90538,LNK-42467,18367.32,,660,
FIN-76578,LNK-35179,16971.42,8696.73,638,584
FIN-28536,LNK-27772,13963.38,14836.60,816,816
FIN-39802,LNK-88782,15236.20,16414.75,781,781
FIN-67441,LNK-94872,17114.89,18075.42,823,806
FIN-45283,LNK-42180,6574.07,8531.38,647,644
FIN-36174,LNK-32285,5615.42,4378.44,727,609
FIN-90168,LNK-35814,4140.46,4382.51,740,761
FIN-4241,LNK-52876,12072.42,12424.09,732.0,727
FIN-27636,LNK-18154,8541.37,8666.96,698.0,703
FIN-77017,LNK-85607,11811.19,12748.23,800,776
FIN-2365,LNK-40321,7860.85,7636.26,800,798
FIN-80803,LNK-60929,251669.04,240006.60,667,643
FIN-67515,LNK-42441,20296.67,27550.98,755,756
FIN-34793,LNK-99548,6366.01,6596.41,800,808
FIN-90821,LNK-10508,11108.09,11074.12,742,751
FIN-50836,LNK-2220,5099.20,2203.11,806,718
FIN-70261,LNK-61068,19363.75,18209.29,705,709
FIN-46727,LNK-82416,14285.86,15349.63,825,806
FIN-98208,LNK-74792,21347.81,24536.84,685,707
FIN-55638,LNK-14104,9221.75,12554.50,582,603
FIN-2495,LNK-10602,17363.10,18068.28,796,794
FIN-57868,LNK-71468,3375.28,3127.31,589,593
FIN-50670,LNK-28938,17417.96,20388.70,715,751
FIN-95839,LNK-67307,21404.52,24426.82,712,755
FIN-78349,LNK-18361,11678.85,12362.89,748,741
FIN-96540,LNK-46745,2938.99,2827.22,613,618
FIN-79310,LNK-10016,3908.91,1575.13,695,646
FIN-24854,LNK-33018,150193.92,17076.42,785,791
FIN-86190,LNK-49434,21005.88,21826.64,663,677
FIN-95087,LNK-38353,7926.02,7630.73,590,600
FIN-54441,LNK-21676,13792.69,14327.70,635,611
FIN-9870,LNK-58433,6374.85,6335.24,807,805
FIN-29637,LNK-72200,19019.04,21145.48,738,767
FIN-69079,LNK-93214,5184.60,4941.32,813,790
FIN-18329,LNK-40651,14455.39,14738.60,677,664
FIN-54708,LNK-81173,21220.38,23683.07,642,654
FIN-72809,LNK-86717,10471.37,9639.05,642,618
FIN-63437,LNK-70329,15139.21,7705.08,786,611
FIN-5426,LNK-2025,15906.25,15049.48,610,594
FIN-82893,LNK-88538,14856.75,,815,
FIN-59046,LNK-73692,8410.36,8631.45,716,699
FIN-58764,LNK-40240,17354.82,20891.80,712,710
FIN-60797,LNK-87951,3864.96,3632.72,757,734
FIN-58544,LNK-14577,20272.91,15860.13,656,601
FIN-79137,LNK-18601,11407.12,13615.15,773,815
FIN-50097,LNK-35664,11383.76,11950.85,820,804
FIN-62392,LNK-16129,16560.45,16103.16,714.0,695
FIN-6358,LNK-15029,4425.20,1838.24,753,611
FIN-86754,LNK-98310,19510.52,18806.54,613,625
FIN-27885,LNK-21374,21168.43,20100.41,672,670
FIN-75645,LNK-36697,15962.77,21763.27,749,785
FIN-75055,LNK-37930,20181.06,19353.41,819,826
FIN-54250,LNK-80276,10925.86,15102.03,664,708
FIN-19915,LNK-28607,17041.43,,784,
FIN-50315,LNK-95058,16405.26,16548.07,729,711
FIN-30205,LNK-45942,19029.89,23866.69,614,645
FIN-66143,LNK-27685,10618.66,10172.38,665,641
FIN-62398,LNK-91111,19132.94,18707.77,780,777
FIN-78235,LNK-84130,18158.53,21741.33,665,687
FIN-25082,LNK-35600,19289.02,19942.70,749,733
FIN-98704,LNK-67244,17698.51,18456.40,695,710.0
FIN-59201,LNK-65032,12268.68,13002.60,674,667
FIN-10143,LNK-33914,5055.46,5012.89,797,790
FIN-88828,LNK-7658,18394.89,,737,
FIN-12193,LNK-13097,3992.79,3884.78,673,686
FIN-8231,LNK-84136,13310.45,13710.80,686,690
FIN-58383,LNK-56518,20502.84,22393.39,689,687
FIN-32242,LNK-37265,13621.89,17893.67,705,702
FIN-47870,LNK-6778,9789.06,10418.13,818,803
FIN-17148,LNK-1464,11073.78,11488.80,585,584
FIN-18041,LNK-44719,17818.98,25735.81,705,704
FIN-73600,LNK-18146,10428.18,9698.63,652,650
FIN-79259,LNK-84507,16113.87,181090.56,812,827
FIN-55977,LNK-35335,3872.94,3789.00,722,712
FIN-23595,LNK-22178,9581.29,9330.20,792,790
FIN-25567,LNK-98154,18187.27,22180.92,722,754
FIN-87597,LNK-58912,9961.83,13081.98,759,804
FIN-5257,LNK-73309,10763.42,7740.70,736,637
FIN-54328,LNK-93493,8589.23,11013.21,587,609
FIN-71731,LNK-57057,16576.76,15461.36,602,600
FIN-86610,LNK-74519,15865.46,16540.59,603,618
FIN-23010,LNK-2267,11570.40,11368.55,678,655
FIN-38672,LNK-15663,14628.40,20452.50,751,784
FIN-27439,LNK-10862,12851.43,18034.94,709,733
FIN-22491,LNK-91573,15840.96,16844.72,675,715
FIN-31386,LNK-20536,6580.55,2623.09,795,657
FIN-26243,LNK-72511,5905.86,5464.55,761,748
FIN-90707,LNK-5722,16884.50,24080.21,690,695
FIN-32700,LNK-49393,3617.25,4761.30,807,812
FIN-7800,LNK-77350,15016.60,16082.51,823,802
FIN-19756,LNK-73420,14606.81,14100.42,820,823
FIN-29268,LNK-20410,17251.66,17121.39,683,673
FIN-81842,LNK-57333,8041.01,8877.64,582,606
FIN-78252,LNK-17704,12640.07,6096.00,770,683
FIN-31118,LNK-6482,12030.11,8628.93,658,538
FIN-34060,LNK-41404,7747.02,7367.88,755.0,740
FIN-37690,LNK-48795,14306.00,13710.00,732,727
FIN-50687,LNK-6229,15915.51,15771.96,798,792
FIN-3956,LNK-47898,13676.38,13734.31,749,729
FIN-53577,LNK-28535,21037.55,21407.34,783.0,794
FIN-93847,LNK-90399,9231.22,4589.45,786,707
FIN-4608,LNK-33706,"$15,349.01",14806.63,821,805
FIN-50525,LNK-88416,18010.98,16602.12,722,733
FIN-75186,LNK-14473,7950.76,9584.17,687,719
FIN-34893,LNK-47357,12771.73,14032.22,717,718
FIN-93762,LNK-74385,13869.54,15911.10,777,808
FIN-30696,LNK-54264,19715.66,10304.76,705,550
FIN-90135,LNK-82351,3807.09,3642.87,760,770
FIN-1302,LNK-99235,3822.09,3951.92,632,639
FIN-53275,LNK-21257,20462.42,29583.41,663,684
FIN-81212,LNK-32029,3787.99,3684.78,729,728
FIN-46061,LNK-22299,20336.58,21233.20,749,749
FIN-86769,LNK-24206,15588.82,"$18,686.88",785,804
FIN-18106,LNK-55040,13583.15,10173.94,666,493
FIN-25999,LNK-4248,5329.88,5541.89,746,748
FIN-45698,LNK-24509,7704.61,7353.08,686,675
FIN-58363,LNK-97542,3499.28,3362.31,691,688
FIN-71475,LNK-44540,7625.16,7066.77,654,638
FIN-52352,LNK-54964,15951.95,15314.03,763,744
FIN-43351,LNK-88806,5435.93,5073.09,727,770
FIN-19425,LNK-97345,12931.48,16978.50,785,796
FIN-79484,LNK-33527,14845.11,14409.49,798,808
